Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90137813,MMC- Clayton,1,0,0,9.21,7.96
90138704,MMC- Clayton,9,0,0,9.21,7.96
90138705,MMC- Clayton,9,0,0,9.21,7.96
90139416,Dandenong,1,0,0,6.52,7.96
90140200,Casey,3,0,0,6.07,7.96
90140978,Dandenong,1,0,0,6.52,7.96
90141465,Casey,3,0,0,6.07,7.96
90141884,MMC- Clayton,4,0,0,9.21,7.96
90142519,MMC- Clayton,22,3,13,9.21,7.96
90142803,Casey,2,0,0,6.07,7.96
90142812,Casey,3,0,0,6.07,7.96
90142824,MMC- Clayton,8,0,0,9.21,7.96
90142827,Casey,6,0,0,6.07,7.96
90142841,Casey,7,0,0,6.07,7.96
90142841,MMC- Clayton,1,0,0,9.21,7.96
90142861,Casey,1,0,0,6.07,7.96
90142863,Casey,1,0,0,6.07,7.96
90142876,Casey,1,0,0,6.07,7.96
90142879,Casey,1,0,0,6.07,7.96
90144220,Casey,4,0,0,6.07,7.96
90144405,MMC- Clayton,39,6,15,9.21,7.96
90144435,MMC- Clayton,1,0,0,9.21,7.96
90144443,MMC- Clayton,20,0,0,9.21,7.96
90144606,Casey,1,0,0,6.07,7.96
90144607,MMC- Clayton,3,0,0,9.21,7.96
90144627,Dandenong,5,0,0,6.52,7.96
90144629,Casey,28,3,10,6.07,7.96
90144646,Casey,8,0,0,6.07,7.96
90144736,MMC- Clayton,13,0,0,9.21,7.96
90144754,Dandenong,1,0,0,6.52,7.96
90144787,MMC- Clayton,5,0,0,9.21,7.96
90144872,Casey,30,8,26,6.07,7.96
90144878,MMC- Clayton,5,0,0,9.21,7.96
90144901,MMC- Clayton,13,4,30,9.21,7.96
90144911,MMC- Clayton,5,0,0,9.21,7.96
90144933,Casey,7,0,0,6.07,7.96
90144951,Casey,7,0,0,6.07,7.96
90145024,MMC- Clayton,2,0,0,9.21,7.96
90145085,MMC- Clayton,12,0,0,9.21,7.96
90145086,MMC- Clayton,30,4,13,9.21,7.96
90145198,Dandenong,1,0,0,6.52,7.96
90145218,MMC- Clayton,6,0,0,9.21,7.96
90145257,MMC- Clayton,6,0,0,9.21,7.96
90145261,MMC- Clayton,1,0,0,9.21,7.96
90145292,Casey,1,0,0,6.07,7.96
90145292,MMC- Clayton,6,0,0,9.21,7.96
90145296,MMC- Clayton,1,0,0,9.21,7.96
90145323,Casey,2,0,0,6.07,7.96
90145385,Casey,5,0,0,6.07,7.96
90145390,MMC- Clayton,16,0,0,9.21,7.96
90145408,Casey,3,0,0,6.07,7.96
90145408,MMC- Clayton,10,0,0,9.21,7.96
90145457,Dandenong,1,0,0,6.52,7.96
90145469,Dandenong,5,0,0,6.52,7.96
90145507,Casey,1,0,0,6.07,7.96
90145525,Casey,5,3,60,6.07,7.96
90145549,MMC- Clayton,4,0,0,9.21,7.96
90145738,MMC- Clayton,12,0,0,9.21,7.96
90145741,Casey,5,0,0,6.07,7.96
90145754,MMC- Clayton,6,0,0,9.21,7.96
90145901,Casey,31,4,12,6.07,7.96
90145901,MMC- Clayton,37,4,10,9.21,7.96
90146246,Casey,2,0,0,6.07,7.96
90146286,Dandenong,1,0,0,6.52,7.96
90146286,MMC- Clayton,18,6,33,9.21,7.96
90148355,Casey,5,0,0,6.07,7.96
90148355,MMC- Clayton,2,0,0,9.21,7.96
90148374,Dandenong,1,0,0,6.52,7.96
90148809,MMC- Clayton,1,0,0,9.21,7.96
90149605,MMC- Clayton,9,0,0,9.21,7.96
90150180,MMC- Clayton,4,0,0,9.21,7.96
90152266,Casey,2,0,0,6.07,7.96
90152983,Casey,1,0,0,6.07,7.96
90153189,MMC- Clayton,1,0,0,9.21,7.96
90153195,MMC- Clayton,1,0,0,9.21,7.96
90153760,Casey,6,0,0,6.07,7.96
90154175,Casey,6,0,0,6.07,7.96
90154175,MMC- Clayton,13,2,15,9.21,7.96
90154371,Dandenong,5,0,0,6.52,7.96
90154449,Casey,2,0,0,6.07,7.96
90155188,MMC- Clayton,12,0,0,9.21,7.96
90155200,MMC- Clayton,20,0,0,9.21,7.96
90156769,Dandenong,1,0,0,6.52,7.96
90157612,MMC- Clayton,19,0,0,9.21,7.96
90159236,MMC- Clayton,4,0,0,9.21,7.96
90160332,MMC- Clayton,2,0,0,9.21,7.96
90160353,Casey,2,0,0,6.07,7.96
90160501,MMC- Clayton,4,0,0,9.21,7.96
90160513,MMC- Clayton,1,0,0,9.21,7.96
90160621,MMC- Clayton,1,0,0,9.21,7.96
90160622,Casey,1,0,0,6.07,7.96
90160636,MMC- Clayton,2,0,0,9.21,7.96
90160647,Dandenong,1,0,0,6.52,7.96
90160650,Dandenong,3,0,0,6.52,7.96
90160655,Casey,1,0,0,6.07,7.96
90160699,MMC- Clayton,3,0,0,9.21,7.96
90160968,Dandenong,1,0,0,6.52,7.96
90161039,MMC- Clayton,21,3,14,9.21,7.96
90161091,MMC- Clayton,17,1,5,9.21,7.96
90161096,Casey,4,0,0,6.07,7.96
90161173,Casey,2,0,0,6.07,7.96
90161185,MMC- Clayton,1,0,0,9.21,7.96
90161376,MMC- Clayton,1,0,0,9.21,7.96
90161873,MMC- Clayton,19,3,15,9.21,7.96
90161944,Casey,4,0,0,6.07,7.96
90162065,Casey,17,0,0,6.07,7.96
90162077,MMC- Clayton,11,0,0,9.21,7.96
90162078,MMC- Clayton,13,0,0,9.21,7.96
90162079,MMC- Clayton,31,5,16,9.21,7.96
90162080,MMC- Clayton,5,0,0,9.21,7.96
90162081,MMC- Clayton,41,1,2,9.21,7.96
90162082,Casey,8,0,0,6.07,7.96
90162082,MMC- Clayton,9,0,0,9.21,7.96
90162251,MMC- Clayton,33,4,12,9.21,7.96
90162252,MMC- Clayton,27,9,33,9.21,7.96
90162330,MMC- Clayton,14,4,28,9.21,7.96
90162599,MMC- Clayton,37,7,18,9.21,7.96
90162759,MMC- Clayton,20,2,10,9.21,7.96
90162770,Casey,7,0,0,6.07,7.96
90162772,Dandenong,1,0,0,6.52,7.96
90162832,Casey,1,0,0,6.07,7.96
90162880,Casey,4,0,0,6.07,7.96
90162896,MMC- Clayton,13,0,0,9.21,7.96
90162925,Casey,17,3,17,6.07,7.96
90162953,Casey,2,0,0,6.07,7.96
90163243,Casey,4,0,0,6.07,7.96
90164074,Casey,1,0,0,6.07,7.96
90164142,Dandenong,2,0,0,6.52,7.96
