Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90123243,Casey,3,0,0,1.97,1.33
90123249,MMC- Clayton,8,0,0,0.77,1.33
90123255,Casey,3,0,0,1.97,1.33
90123258,Casey,3,0,0,1.97,1.33
90123261,Casey,3,0,0,1.97,1.33
90123262,Casey,8,0,0,1.97,1.33
90123265,Casey,5,0,0,1.97,1.33
90123274,Casey,5,0,0,1.97,1.33
90123274,Dandenong,4,0,0,2.72,1.33
90123284,Casey,4,0,0,1.97,1.33
90123295,Casey,1,0,0,1.97,1.33
90123296,Casey,3,0,0,1.97,1.33
90123301,Casey,4,0,0,1.97,1.33
90123309,MMC- Clayton,3,0,0,0.77,1.33
90123323,Casey,4,0,0,1.97,1.33
90123332,Casey,1,0,0,1.97,1.33
90123339,Dandenong,2,0,0,2.72,1.33
90123339,MMC- Clayton,16,0,0,0.77,1.33
90124199,Casey,5,0,0,1.97,1.33
90124202,Casey,8,0,0,1.97,1.33
90124202,Dandenong,7,1,14,2.72,1.33
90124438,Casey,14,0,0,1.97,1.33
90124438,Dandenong,1,0,0,2.72,1.33
90124438,MMC- Clayton,21,0,0,0.77,1.33
90124439,Casey,10,0,0,1.97,1.33
90124439,Dandenong,4,1,25,2.72,1.33
90124440,Casey,26,0,0,1.97,1.33
90124441,Casey,7,0,0,1.97,1.33
90124443,Casey,3,1,33,1.97,1.33
90124445,Casey,6,0,0,1.97,1.33
90124446,Casey,6,1,16,1.97,1.33
90124446,Dandenong,1,0,0,2.72,1.33
90124447,Casey,7,0,0,1.97,1.33
90124447,Dandenong,5,0,0,2.72,1.33
90124449,Casey,2,0,0,1.97,1.33
90124449,Dandenong,10,0,0,2.72,1.33
90124459,Dandenong,2,0,0,2.72,1.33
90124476,MMC- Clayton,8,0,0,0.77,1.33
90124487,MMC- Clayton,2,0,0,0.77,1.33
90124491,Casey,5,0,0,1.97,1.33
90124492,MMC- Clayton,3,1,33,0.77,1.33
90124499,Dandenong,1,0,0,2.72,1.33
90124502,Casey,5,0,0,1.97,1.33
90124502,MMC- Clayton,2,0,0,0.77,1.33
90124505,MMC- Clayton,8,0,0,0.77,1.33
90124508,Casey,11,0,0,1.97,1.33
90124515,Dandenong,1,0,0,2.72,1.33
90124517,Dandenong,4,0,0,2.72,1.33
90124517,MMC- Clayton,3,0,0,0.77,1.33
90124523,MMC- Clayton,2,0,0,0.77,1.33
90124524,MMC- Clayton,11,0,0,0.77,1.33
90124526,MMC- Clayton,19,0,0,0.77,1.33
90124539,Casey,1,0,0,1.97,1.33
90124543,Casey,2,0,0,1.97,1.33
90124543,MMC- Clayton,3,0,0,0.77,1.33
90124546,MMC- Clayton,2,0,0,0.77,1.33
90124552,Casey,2,0,0,1.97,1.33
90124561,Dandenong,6,0,0,2.72,1.33
90124561,MMC- Clayton,9,0,0,0.77,1.33
90124563,MMC- Clayton,1,0,0,0.77,1.33
90124565,Dandenong,2,0,0,2.72,1.33
90124570,Casey,2,0,0,1.97,1.33
90124570,Dandenong,1,0,0,2.72,1.33
90124574,Casey,7,0,0,1.97,1.33
90124585,MMC- Clayton,3,0,0,0.77,1.33
90124609,MMC- Clayton,24,0,0,0.77,1.33
90124612,Casey,5,0,0,1.97,1.33
90124621,MMC- Clayton,24,0,0,0.77,1.33
90124633,MMC- Clayton,2,0,0,0.77,1.33
90124637,MMC- Clayton,6,0,0,0.77,1.33
90124642,Casey,11,0,0,1.97,1.33
90124682,MMC- Clayton,5,0,0,0.77,1.33
90124698,MMC- Clayton,14,1,7,0.77,1.33
90124936,Casey,5,0,0,1.97,1.33
90124939,Casey,1,0,0,1.97,1.33
90127293,MMC- Clayton,5,0,0,0.77,1.33
90127515,MMC- Clayton,4,0,0,0.77,1.33
90132167,Casey,29,0,0,1.97,1.33
90135325,Casey,12,1,8,1.97,1.33
90136838,MMC- Clayton,17,0,0,0.77,1.33
90136845,MMC- Clayton,1,0,0,0.77,1.33
90136849,MMC- Clayton,4,0,0,0.77,1.33
90136850,MMC- Clayton,16,0,0,0.77,1.33
90137181,Casey,1,0,0,1.97,1.33
90137813,Casey,19,0,0,1.97,1.33
90137813,MMC- Clayton,1,0,0,0.77,1.33
90138704,MMC- Clayton,9,0,0,0.77,1.33
90138705,MMC- Clayton,9,1,11,0.77,1.33
90139416,Dandenong,1,0,0,2.72,1.33
90140200,Casey,3,0,0,1.97,1.33
90140978,Dandenong,1,0,0,2.72,1.33
90141465,Casey,3,1,33,1.97,1.33
90141884,MMC- Clayton,4,0,0,0.77,1.33
90142519,MMC- Clayton,22,0,0,0.77,1.33
90142803,Casey,2,0,0,1.97,1.33
90142812,Casey,3,0,0,1.97,1.33
90142824,MMC- Clayton,8,0,0,0.77,1.33
90142827,Casey,6,0,0,1.97,1.33
90142841,Casey,7,1,14,1.97,1.33
90142841,MMC- Clayton,1,0,0,0.77,1.33
90142861,Casey,1,0,0,1.97,1.33
90142863,Casey,1,0,0,1.97,1.33
90142876,Casey,1,0,0,1.97,1.33
90142879,Casey,1,0,0,1.97,1.33
90144220,Casey,4,0,0,1.97,1.33
90144405,MMC- Clayton,39,0,0,0.77,1.33
90144435,MMC- Clayton,1,0,0,0.77,1.33
90144443,MMC- Clayton,20,1,5,0.77,1.33
90144606,Casey,1,0,0,1.97,1.33
90144607,MMC- Clayton,3,0,0,0.77,1.33
90144627,Dandenong,5,0,0,2.72,1.33
