Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90123274,Casey,5,0,0,1.62,1.25
90123274,Dandenong,4,0,0,0.54,1.25
90123284,Casey,4,0,0,1.62,1.25
90123295,Casey,1,0,0,1.62,1.25
90123296,Casey,3,0,0,1.62,1.25
90123301,Casey,4,0,0,1.62,1.25
90123309,MMC- Clayton,3,0,0,1.17,1.25
90123323,Casey,4,0,0,1.62,1.25
90123332,Casey,1,0,0,1.62,1.25
90123339,Dandenong,2,0,0,0.54,1.25
90123339,MMC- Clayton,16,0,0,1.17,1.25
90124199,Casey,5,1,20,1.62,1.25
90124202,Casey,8,0,0,1.62,1.25
90124202,Dandenong,7,0,0,0.54,1.25
90124438,Casey,14,0,0,1.62,1.25
90124438,Dandenong,1,0,0,0.54,1.25
90124438,MMC- Clayton,21,0,0,1.17,1.25
90124439,Casey,10,0,0,1.62,1.25
90124439,Dandenong,4,0,0,0.54,1.25
90124440,Casey,26,0,0,1.62,1.25
90124441,Casey,7,0,0,1.62,1.25
90124443,Casey,3,0,0,1.62,1.25
90124445,Casey,6,0,0,1.62,1.25
90124446,Casey,6,0,0,1.62,1.25
90124446,Dandenong,1,0,0,0.54,1.25
90124447,Casey,7,0,0,1.62,1.25
90124447,Dandenong,5,0,0,0.54,1.25
90124449,Casey,2,0,0,1.62,1.25
90124449,Dandenong,10,0,0,0.54,1.25
90124459,Dandenong,2,0,0,0.54,1.25
90124476,MMC- Clayton,8,0,0,1.17,1.25
90124487,MMC- Clayton,2,0,0,1.17,1.25
90124491,Casey,5,0,0,1.62,1.25
90124492,MMC- Clayton,3,0,0,1.17,1.25
90124499,Dandenong,1,0,0,0.54,1.25
90124502,Casey,5,0,0,1.62,1.25
90124502,MMC- Clayton,2,0,0,1.17,1.25
90124505,MMC- Clayton,8,0,0,1.17,1.25
90124508,Casey,11,0,0,1.62,1.25
90124515,Dandenong,1,0,0,0.54,1.25
90124517,Dandenong,4,0,0,0.54,1.25
90124517,MMC- Clayton,3,0,0,1.17,1.25
90124523,MMC- Clayton,2,0,0,1.17,1.25
90124524,MMC- Clayton,11,0,0,1.17,1.25
90124526,MMC- Clayton,19,0,0,1.17,1.25
90124539,Casey,1,0,0,1.62,1.25
90124543,Casey,2,0,0,1.62,1.25
90124543,MMC- Clayton,3,0,0,1.17,1.25
90124546,MMC- Clayton,2,0,0,1.17,1.25
90124552,Casey,2,0,0,1.62,1.25
90124561,Dandenong,6,0,0,0.54,1.25
90124561,MMC- Clayton,9,0,0,1.17,1.25
90124563,MMC- Clayton,1,0,0,1.17,1.25
90124565,Dandenong,2,0,0,0.54,1.25
90124570,Casey,2,0,0,1.62,1.25
90124570,Dandenong,1,0,0,0.54,1.25
90124574,Casey,7,0,0,1.62,1.25
90124585,MMC- Clayton,3,0,0,1.17,1.25
90124609,MMC- Clayton,24,0,0,1.17,1.25
90124612,Casey,5,0,0,1.62,1.25
90124621,MMC- Clayton,24,0,0,1.17,1.25
90124633,MMC- Clayton,2,0,0,1.17,1.25
90124637,MMC- Clayton,6,0,0,1.17,1.25
90124642,Casey,11,0,0,1.62,1.25
90124682,MMC- Clayton,5,0,0,1.17,1.25
90124698,MMC- Clayton,14,0,0,1.17,1.25
90124936,Casey,5,0,0,1.62,1.25
90124939,Casey,1,0,0,1.62,1.25
90127293,MMC- Clayton,5,0,0,1.17,1.25
90127515,MMC- Clayton,4,0,0,1.17,1.25
90132167,Casey,29,2,6,1.62,1.25
90135325,Casey,12,0,0,1.62,1.25
90136838,MMC- Clayton,17,1,5,1.17,1.25
90136845,MMC- Clayton,1,0,0,1.17,1.25
90136849,MMC- Clayton,4,1,25,1.17,1.25
90136850,MMC- Clayton,16,0,0,1.17,1.25
90137181,Casey,1,0,0,1.62,1.25
90137813,Casey,19,3,15,1.62,1.25
90137813,MMC- Clayton,1,0,0,1.17,1.25
90138704,MMC- Clayton,9,0,0,1.17,1.25
90138705,MMC- Clayton,9,1,11,1.17,1.25
90139416,Dandenong,1,0,0,0.54,1.25
90140200,Casey,3,0,0,1.62,1.25
90140978,Dandenong,1,0,0,0.54,1.25
90141465,Casey,3,0,0,1.62,1.25
90141884,MMC- Clayton,4,0,0,1.17,1.25
90142519,MMC- Clayton,22,0,0,1.17,1.25
90142803,Casey,2,0,0,1.62,1.25
90142812,Casey,3,0,0,1.62,1.25
90142824,MMC- Clayton,8,0,0,1.17,1.25
90142827,Casey,6,0,0,1.62,1.25
90142841,Casey,7,0,0,1.62,1.25
90142841,MMC- Clayton,1,0,0,1.17,1.25
90142861,Casey,1,0,0,1.62,1.25
90142863,Casey,1,0,0,1.62,1.25
90142876,Casey,1,0,0,1.62,1.25
90142879,Casey,1,0,0,1.62,1.25
90144220,Casey,4,0,0,1.62,1.25
90144405,MMC- Clayton,39,0,0,1.17,1.25
90144435,MMC- Clayton,1,0,0,1.17,1.25
90144443,MMC- Clayton,20,0,0,1.17,1.25
90144606,Casey,1,0,0,1.62,1.25
90144607,MMC- Clayton,3,0,0,1.17,1.25
90144627,Dandenong,5,0,0,0.54,1.25
90144629,Casey,28,0,0,1.62,1.25
90144646,Casey,8,0,0,1.62,1.25
90144736,MMC- Clayton,13,0,0,1.17,1.25
90144754,Dandenong,1,0,0,0.54,1.25
90144787,MMC- Clayton,5,0,0,1.17,1.25
90144872,Casey,30,2,6,1.62,1.25
90144878,MMC- Clayton,5,0,0,1.17,1.25
90144901,MMC- Clayton,13,0,0,1.17,1.25
90144911,MMC- Clayton,5,0,0,1.17,1.25
90144933,Casey,7,0,0,1.62,1.25
90144951,Casey,7,0,0,1.62,1.25
90145024,MMC- Clayton,2,0,0,1.17,1.25
90145085,MMC- Clayton,12,0,0,1.17,1.25
90145086,MMC- Clayton,30,1,3,1.17,1.25
90145198,Dandenong,1,0,0,0.54,1.25
90145218,MMC- Clayton,6,0,0,1.17,1.25
90145257,MMC- Clayton,6,0,0,1.17,1.25
90145261,MMC- Clayton,1,0,0,1.17,1.25
90145292,Casey,1,0,0,1.62,1.25
90145292,MMC- Clayton,6,0,0,1.17,1.25
90145296,MMC- Clayton,1,0,0,1.17,1.25
90145323,Casey,2,0,0,1.62,1.25
90145385,Casey,5,0,0,1.62,1.25
90145390,MMC- Clayton,16,0,0,1.17,1.25
90145408,Casey,3,0,0,1.62,1.25
90145408,MMC- Clayton,10,0,0,1.17,1.25
90145457,Dandenong,1,0,0,0.54,1.25
90145469,Dandenong,5,0,0,0.54,1.25
90145507,Casey,1,0,0,1.62,1.25
90145525,Casey,5,0,0,1.62,1.25
90145549,MMC- Clayton,4,0,0,1.17,1.25
90145738,MMC- Clayton,12,0,0,1.17,1.25
90145741,Casey,5,0,0,1.62,1.25
