Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90100013,Casey,9,0,0,0,0.03
90100582,Dandenong,7,0,0,0,0.03
90100582,MMC- Clayton,6,0,0,0.05,0.03
90101121,MMC- Clayton,2,0,0,0.05,0.03
90101122,MMC- Clayton,5,0,0,0.05,0.03
90101219,Dandenong,2,0,0,0,0.03
90101274,Casey,24,0,0,0,0.03
90101274,MMC- Clayton,33,0,0,0.05,0.03
90102876,MMC- Clayton,2,0,0,0.05,0.03
90102895,Casey,1,0,0,0,0.03
90102895,Dandenong,5,0,0,0,0.03
90103211,MMC- Clayton,1,0,0,0.05,0.03
90103318,Casey,23,0,0,0,0.03
90104011,Casey,8,0,0,0,0.03
90104011,Dandenong,5,0,0,0,0.03
90104797,Casey,5,0,0,0,0.03
90104880,Dandenong,3,0,0,0,0.03
90104983,MMC- Clayton,2,0,0,0.05,0.03
90105952,Casey,3,0,0,0,0.03
90107017,Dandenong,3,0,0,0,0.03
90107514,MMC- Clayton,18,0,0,0.05,0.03
90107765,Dandenong,7,0,0,0,0.03
90108333,MMC- Clayton,1,0,0,0.05,0.03
90109083,Dandenong,2,0,0,0,0.03
90109179,Casey,2,0,0,0,0.03
90109179,Dandenong,1,0,0,0,0.03
90109179,MMC- Clayton,6,0,0,0.05,0.03
90109536,Casey,3,0,0,0,0.03
90110663,MMC- Clayton,1,0,0,0.05,0.03
90111201,MMC- Clayton,1,0,0,0.05,0.03
90111234,Casey,1,0,0,0,0.03
90111258,Casey,1,0,0,0,0.03
90111262,MMC- Clayton,1,0,0,0.05,0.03
90111265,Casey,1,0,0,0,0.03
90111526,MMC- Clayton,2,0,0,0.05,0.03
90112083,Casey,3,0,0,0,0.03
90112361,Dandenong,2,0,0,0,0.03
90112578,Dandenong,3,0,0,0,0.03
90113108,Dandenong,3,0,0,0,0.03
90113108,MMC- Clayton,2,0,0,0.05,0.03
90113497,MMC- Clayton,14,0,0,0.05,0.03
90113883,Casey,11,0,0,0,0.03
90115768,Casey,3,0,0,0,0.03
90115768,MMC- Clayton,1,0,0,0.05,0.03
90115923,Dandenong,5,0,0,0,0.03
90116155,Casey,4,0,0,0,0.03
90116155,Dandenong,1,0,0,0,0.03
90116410,MMC- Clayton,1,0,0,0.05,0.03
90117588,Casey,7,0,0,0,0.03
90117588,Dandenong,3,0,0,0,0.03
90117588,MMC- Clayton,7,0,0,0.05,0.03
90117635,Casey,5,0,0,0,0.03
90118204,Dandenong,2,0,0,0,0.03
90118416,MMC- Clayton,11,0,0,0.05,0.03
90119011,Dandenong,1,0,0,0,0.03
90119011,MMC- Clayton,1,0,0,0.05,0.03
90119071,Casey,3,0,0,0,0.03
90119285,MMC- Clayton,8,0,0,0.05,0.03
90119577,MMC- Clayton,43,0,0,0.05,0.03
90119715,Casey,4,0,0,0,0.03
90119742,Casey,4,0,0,0,0.03
90119742,Dandenong,5,0,0,0,0.03
90119823,MMC- Clayton,12,0,0,0.05,0.03
90119848,MMC- Clayton,1,0,0,0.05,0.03
90119860,Casey,1,0,0,0,0.03
90119860,MMC- Clayton,2,0,0,0.05,0.03
90119901,MMC- Clayton,5,0,0,0.05,0.03
90119988,Dandenong,1,0,0,0,0.03
90119988,MMC- Clayton,4,0,0,0.05,0.03
90121871,MMC- Clayton,2,0,0,0.05,0.03
90122677,Casey,2,0,0,0,0.03
90122677,MMC- Clayton,32,0,0,0.05,0.03
90123231,Casey,7,0,0,0,0.03
90123234,Casey,1,0,0,0,0.03
90123243,Casey,3,0,0,0,0.03
90123249,MMC- Clayton,8,0,0,0.05,0.03
90123255,Casey,3,0,0,0,0.03
90123258,Casey,3,0,0,0,0.03
90123261,Casey,3,0,0,0,0.03
90123262,Casey,8,0,0,0,0.03
90123265,Casey,5,0,0,0,0.03
90123274,Casey,5,0,0,0,0.03
90123274,Dandenong,4,0,0,0,0.03
90123284,Casey,4,0,0,0,0.03
90123295,Casey,1,0,0,0,0.03
90123296,Casey,3,0,0,0,0.03
90123301,Casey,4,0,0,0,0.03
90123309,MMC- Clayton,3,0,0,0.05,0.03
90123323,Casey,4,0,0,0,0.03
90123332,Casey,1,0,0,0,0.03
90123339,Dandenong,2,0,0,0,0.03
90123339,MMC- Clayton,16,1,6,0.05,0.03
90124199,Casey,5,0,0,0,0.03
90124202,Casey,8,0,0,0,0.03
90124202,Dandenong,7,0,0,0,0.03
90124438,Casey,14,0,0,0,0.03
90124438,Dandenong,1,0,0,0,0.03
90124438,MMC- Clayton,21,0,0,0.05,0.03
90124439,Casey,10,0,0,0,0.03
90124439,Dandenong,4,0,0,0,0.03
90124440,Casey,26,0,0,0,0.03
90124441,Casey,7,0,0,0,0.03
90124443,Casey,3,0,0,0,0.03
90124445,Casey,6,0,0,0,0.03
90124446,Casey,6,0,0,0,0.03
90124446,Dandenong,1,0,0,0,0.03
90124447,Casey,7,0,0,0,0.03
90124447,Dandenong,5,0,0,0,0.03
90124449,Casey,2,0,0,0,0.03
90124449,Dandenong,10,0,0,0,0.03
90124459,Dandenong,2,0,0,0,0.03
90124476,MMC- Clayton,8,0,0,0.05,0.03
