Treating.Clinician,total,Hospital,target,percentage,hospital_each_average,hospital_all_average
90162759,20,MMC- Clayton,0,0,3.7,3.22
90162896,13,MMC- Clayton,0,0,3.7,3.22
90165262,16,MMC- Clayton,0,0,3.7,3.22
90166103,7,MMC- Clayton,0,0,3.7,3.22
90166170,13,MMC- Clayton,0,0,3.7,3.22
90166333,2,MMC- Clayton,0,0,3.7,3.22
90166347,2,MMC- Clayton,0,0,3.7,3.22
90002772,6,Dandenong,0,0,2.72,3.22
90003943,2,Dandenong,0,0,2.72,3.22
90004289,1,Dandenong,0,0,2.72,3.22
90005035,2,Dandenong,0,0,2.72,3.22
90007275,9,Dandenong,0,0,2.72,3.22
90008672,8,Dandenong,1,12,2.72,3.22
90013900,1,Dandenong,0,0,2.72,3.22
90015608,6,Dandenong,0,0,2.72,3.22
90015746,1,Dandenong,0,0,2.72,3.22
90016143,1,Dandenong,0,0,2.72,3.22
90020817,8,Dandenong,0,0,2.72,3.22
90021003,4,Dandenong,1,25,2.72,3.22
90024223,1,Dandenong,0,0,2.72,3.22
90025727,3,Dandenong,0,0,2.72,3.22
90028254,6,Dandenong,0,0,2.72,3.22
90029255,7,Dandenong,1,14,2.72,3.22
90029388,3,Dandenong,0,0,2.72,3.22
90033661,4,Dandenong,0,0,2.72,3.22
90033774,3,Dandenong,0,0,2.72,3.22
90034329,2,Dandenong,0,0,2.72,3.22
90035880,1,Dandenong,0,0,2.72,3.22
90037850,2,Dandenong,0,0,2.72,3.22
90039000,2,Dandenong,0,0,2.72,3.22
90039551,1,Dandenong,0,0,2.72,3.22
90040184,1,Dandenong,0,0,2.72,3.22
90040773,4,Dandenong,1,25,2.72,3.22
90043890,1,Dandenong,0,0,2.72,3.22
90044868,2,Dandenong,0,0,2.72,3.22
90047010,1,Dandenong,0,0,2.72,3.22
90047937,1,Dandenong,0,0,2.72,3.22
90049188,8,Dandenong,0,0,2.72,3.22
90051139,9,Dandenong,0,0,2.72,3.22
90052916,9,Dandenong,0,0,2.72,3.22
90053104,3,Dandenong,0,0,2.72,3.22
90053418,1,Dandenong,0,0,2.72,3.22
90054690,5,Dandenong,0,0,2.72,3.22
90055388,2,Dandenong,0,0,2.72,3.22
90056621,5,Dandenong,0,0,2.72,3.22
90057408,5,Dandenong,0,0,2.72,3.22
90057890,1,Dandenong,0,0,2.72,3.22
90058786,1,Dandenong,0,0,2.72,3.22
90059584,3,Dandenong,0,0,2.72,3.22
90060945,6,Dandenong,1,16,2.72,3.22
90060950,1,Dandenong,0,0,2.72,3.22
90068267,12,Dandenong,1,8,2.72,3.22
90068451,4,Dandenong,0,0,2.72,3.22
90071350,3,Dandenong,0,0,2.72,3.22
90072373,3,Dandenong,0,0,2.72,3.22
90074642,1,Dandenong,0,0,2.72,3.22
90075767,3,Dandenong,0,0,2.72,3.22
90076316,3,Dandenong,0,0,2.72,3.22
90080314,2,Dandenong,0,0,2.72,3.22
90081957,1,Dandenong,0,0,2.72,3.22
90082317,4,Dandenong,0,0,2.72,3.22
90082515,3,Dandenong,0,0,2.72,3.22
90083180,4,Dandenong,0,0,2.72,3.22
90083199,4,Dandenong,0,0,2.72,3.22
90085012,1,Dandenong,0,0,2.72,3.22
90088199,4,Dandenong,0,0,2.72,3.22
90090296,5,Dandenong,0,0,2.72,3.22
90097823,7,Dandenong,0,0,2.72,3.22
90099752,6,Dandenong,0,0,2.72,3.22
90100582,7,Dandenong,1,14,2.72,3.22
90101219,2,Dandenong,0,0,2.72,3.22
90102895,5,Dandenong,0,0,2.72,3.22
90104011,5,Dandenong,0,0,2.72,3.22
90104880,3,Dandenong,0,0,2.72,3.22
90107017,3,Dandenong,0,0,2.72,3.22
90107765,7,Dandenong,0,0,2.72,3.22
90109083,2,Dandenong,0,0,2.72,3.22
90109179,1,Dandenong,0,0,2.72,3.22
90112361,2,Dandenong,1,50,2.72,3.22
90112578,3,Dandenong,0,0,2.72,3.22
90113108,3,Dandenong,0,0,2.72,3.22
90115923,5,Dandenong,0,0,2.72,3.22
90116155,1,Dandenong,0,0,2.72,3.22
90117588,3,Dandenong,0,0,2.72,3.22
90118204,2,Dandenong,0,0,2.72,3.22
90119011,1,Dandenong,0,0,2.72,3.22
90119742,5,Dandenong,1,20,2.72,3.22
90119988,1,Dandenong,0,0,2.72,3.22
90123274,4,Dandenong,0,0,2.72,3.22
90123339,2,Dandenong,0,0,2.72,3.22
90124202,7,Dandenong,0,0,2.72,3.22
90124438,1,Dandenong,0,0,2.72,3.22
90124439,4,Dandenong,0,0,2.72,3.22
90124446,1,Dandenong,0,0,2.72,3.22
90124447,5,Dandenong,0,0,2.72,3.22
90124449,10,Dandenong,0,0,2.72,3.22
90124459,2,Dandenong,0,0,2.72,3.22
90124499,1,Dandenong,0,0,2.72,3.22
90124515,1,Dandenong,0,0,2.72,3.22
90124517,4,Dandenong,0,0,2.72,3.22
90124561,6,Dandenong,0,0,2.72,3.22
90124565,2,Dandenong,1,50,2.72,3.22
90124570,1,Dandenong,0,0,2.72,3.22
90139416,1,Dandenong,0,0,2.72,3.22
90140978,1,Dandenong,0,0,2.72,3.22
90144627,5,Dandenong,0,0,2.72,3.22
90144754,1,Dandenong,0,0,2.72,3.22
90145198,1,Dandenong,0,0,2.72,3.22
90145457,1,Dandenong,0,0,2.72,3.22
90145469,5,Dandenong,0,0,2.72,3.22
90146286,1,Dandenong,0,0,2.72,3.22
90148374,1,Dandenong,0,0,2.72,3.22
90154371,5,Dandenong,0,0,2.72,3.22
90156769,1,Dandenong,0,0,2.72,3.22
90160647,1,Dandenong,0,0,2.72,3.22
90160650,3,Dandenong,0,0,2.72,3.22
90160968,1,Dandenong,0,0,2.72,3.22
90162772,1,Dandenong,0,0,2.72,3.22
90164142,2,Dandenong,0,0,2.72,3.22
90165844,2,Dandenong,0,0,2.72,3.22
90000541,3,Casey,0,0,2.48,3.22
90000926,3,Casey,0,0,2.48,3.22
90000999,1,Casey,0,0,2.48,3.22
90001660,2,Casey,0,0,2.48,3.22
90002776,7,Casey,0,0,2.48,3.22
90003149,2,Casey,0,0,2.48,3.22
